IE_XML_ID;IE_NAME;IP_PROP157;IP_PROP160;IP_PROP253;IP_PROP257;IP_PROP258;CV_PRICE_1
6661;арочное обрамление 4.87.033 гибкий;Да;ВР002028304;14905;56,49;56,49;3184.00
6662;карниз 1.50.281 гибкий;Да;ВР002028715;32904;104,68;104,68;7337.00
6663;карниз 1.50.282 гибкий;Да;ВР002028716;11160;36,21;36,21;2490.00
6664;молдинг 1.51.368 гибкий;Да;ВР002028729;18349;58,47;58,47;4092.00
6665;молдинг 1.51.364;Нет;ВР002028166;7025;22,21;22,21;1566.00
6666;элемент камина 1.64.001;Нет;ВР002025744;76669;229,6;229,6;16245.00
6667;элемент камина 1.64.002;Нет;ВР002025745;44752;134,09;134,09;9481.00
6668;элемент камина 1.64.003;Нет;ВР002025746;44752;134,09;134,09;9481.00
6670;карниз 1.50.277 гибкий;Да;ВР002028712;24888;79,51;79,51;5547.00
6671;молдинг 1.51.373 гибкий;Да;ВР002028734;15461;49,1;49,1;3441.00
6672;розетка 1.56.050;Нет;ВР002029526;8289;26,11;26,11;1847.00
6674;архитрав 1.26.001 гибкий;Да;ВР002028539;27622;82,63;82,63;5853.00
6675;архитрав 1.26.002 гибкий;Да;ВР002028540;27622;82,63;82,63;5853.00
6676;архитрав 1.26.003 гибкий;Да;ВР002028541;28289;84,58;84,58;5994.00
6683;розетка 1.56.047;Нет;ВР002029488;8289;26,11;26,11;1847.00
6684;кронштейн 1.19.011;Нет;ВР002028745;7892;24,94;24,94;1759.00
6687;молдинг 1.51.307;Нет;ВР000001065;7875;24,22;24,22;1757.00
6707;молдинг 1.51.369;Нет;ВР002028361;6539;20,66;20,66;1459.00
6708;молдинг 1.51.376;Нет;ВР002029834;5092;22,99;22,99;1137.00
6709;розетка 1.56.045;Нет;ВР002028365;19560;61,59;61,59;4360.00
6710;угловой элемент 1.52.352;Нет;ВР002029491;4064;12,85;12,85;906.00
6711;кронштейн 1.19.009;Нет;ВР002028702;7711;24,55;24,55;1719.00
6736;орнамент 1.60.037;Нет;ВР002029533;7186;21,44;21,44;1521.00
6737;орнамент 1.60.038;Нет;ВР002029734;6844;20,66;20,66;1451.00
6738;орнамент 1.60.039;Нет;ВР002029731;6920;20,66;20,66;1464.00
6739;орнамент 1.60.040;Нет;ВР002029837;7396;22,22;22,22;1566.00
6740;наличник 1.54.014;Нет;ВР002028750;12515;39,37;39,37;2790.00
6741;розетка 1.56.043;Нет;ВР002025489;6483;20,66;20,66;1446.00
6742;розетка 1.56.048;Нет;ВР002029532;6483;20,66;20,66;1446.00
6743;розетка 1.56.049;Нет;ВР002029525;6268;19,88;19,88;1395.00
6749;карниз 1.50.290;Нет;ВР002029832;5797;18,5;18,5;1291.00
6750;угловой элемент 1.52.375;Нет;ВР002029529;4081;13,24;13,24;910.00
6751;кронштейн 1.19.013;Нет;ВР002029487;9483;30,02;30,02;2112.00
6755;молдинг 1.51.338;Нет;ВР001023157;4081;12,87;12,87;908.00
6756;угловой элемент 1.52.376;Нет;ВР002029836;3974;12,85;12,85;885.00
6757;орнамент 1.60.035;Нет;ВР002029482;2034;6,23;6,23;428.00
6758;орнамент 1.60.135;Нет;ВР002029485;2034;6,23;6,23;428.00
6761;угловой элемент 1.52.283;Нет;ВР002029490;3901;12,48;12,48;869.00
6762;угловой элемент 1.52.284;Нет;ВР002028701;3756;11,68;11,68;835.00
6763;кронштейн 1.19.012;Нет;ВР002028744;7711;24,55;24,55;1719.00
6764;розетка 1.56.046;Нет;ВР002029489;22937;72,51;72,51;5115.00
6765;карниз 1.50.225;Нет;ВР002029918;5364;17,31;17,31;1196.00
6766;карниз 1.50.226;Нет;ВР002029920;5905;18,89;18,89;1315.00
6767;орнамент 1.60.036;Нет;ВР002029536;13802;41,32;41,32;2923.00
6768;карниз 1.50.289;Нет;ВР002029735;5472;17,71;17,71;1221.00
6770;карниз 1.50.283 гибкий;Да;ВР002028717;11160;36,21;36,21;2490.00
6771;карниз 1.50.206;Нет;ВР002025473;4461;14,18;14,18;994.00
6772;кронштейн 1.19.014;Нет;ВР002029486;8073;25,72;25,72;1799.00
6773;карниз 1.50.295;Нет;ВР099020111;4209;13,39;13,39;935.00
6783;карниз 1.50.293;Нет;ВР099020115;6539;20,86;20,86;1455.00
6784;карниз 1.50.294;Нет;ВР099020117;4461;14,18;14,18;995.00
6785;карниз 1.50.279 гибкий;Да;ВР002028713;24203;77,14;77,14;5397.00
6786;карниз 1.50.293 гибкий;Да;ВР099020116;13078;41,72;41,72;2910.00
6787;карниз 1.50.294 гибкий;Да;ВР099020118;8922;28,35;28,35;1990.00
6807;карниз 1.50.290 гибкий;Да;ВР002029833;11594;36,99;36,99;2581.00
6808;карниз 1.50.289 гибкий;Да;ВР002029736;10943;35,42;35,42;2440.00
6809;карниз 1.50.206 гибкий;Да;ВР002028705;8922;28,35;28,35;1987.00
6810;карниз 1.50.295 гибкий;Да;ВР099020112;8418;26,77;26,77;1870.00
6811;молдинг 1.51.376 гибкий;Да;ВР002029835;10184;45,98;45,98;2273.00
6812;молдинг 1.51.338 гибкий;Да;ВР002028721;8163;25,74;25,74;1815.00
6817;кронштейн 1.19.018;Нет;ВР002029831;10529;33,14;33,14;2346.00
6818;молдинг 1.51.382;Нет;ВР099020343;8379;26,5;26,5;1868.00
6819;молдинг 1.51.377;Нет;ВР099020121;4209;13,26;13,26;937.00
6820;молдинг 1.51.379;Нет;ВР099020119;4135;12,5;12,5;923.00
6821;карниз 1.50.272;Нет;ВР002025477;4461;14,18;14,18;995.00
